AO,mnchn,FLAG
1996_AO001A,0.7373041316,1
1996_AO021A,0.7275943355,1
1998_AO010,0.7250872582,1
2003_AO119,0.7250692418,1
2003_AO039,0.7178373413,1
2002_AO102A,0.7162985229,1
2002_AO096,0.7162549693,1
1997_AO017,0.7113300761,1
2002_AO071,0.6993986657,1
2005_AO005,0.6910096957,1
2003_AO095,0.6877646951,1
1978_AO340,0.6721173703,0.5
1996_AO009,0.669808236,1
1997_AO025A,0.6631061431,1
1997_AO020,0.6614257102,1
1995_AO006,0.6573722175,1
1984_AO100,0.6560855849,1
2003_AO121,0.6536504023,1
1997_AO003,0.6471793935,1
1972_AO166,0.6426609899,0.5
2005_AO014,0.6390999044,1
1978_AO342,0.6314320404,1
1992_AO005,0.6290770476,1
1997_AO008A,0.6289496344,0.5
2000_AO003A,0.6223504521,1
1998A_AO017B,0.6184061521,1
1980_AO097A,0.6157307268,0.5
2016_AO0035,0.590841247,1
2009_AO025,0.580699683,1
1976_AO275,0.5800368186,0.5
2005_AO020,0.5760442519,1
2014_AO0045,0.5628778326,1
2004_AO178,0.5628752653,1
1995_AO015,0.5627342761,1
2004_AO132,0.5605289071,1
2006_AO008,0.5569335801,1
1992_AO076A,0.5558083233,1
2002_AO081,0.5557233788,0
2011_AO0016,0.5534744036,1
2006_AO015,0.5519759794,1
